#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-02T20:21:07 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-02T20:21:07	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/144/16/table4&-out.max=100	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51440016
#Name: J/AJ/144/16
#Title: Optical and HI properties of galaxies in voids (Kreckel+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/aj/144/16	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/144/16	    IVOID of underlying data collection
#INFO	creator=Kreckel K.	    First author or institution
#INFO	cites=bibcode:2012AJ....144...16K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/144/16	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51440016	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_144_16_table4:
#Name: J/AJ/144/16/table4
#Title: HI properties of targeted void galaxies and companions
#Column	VGS	(A3)	Void galaxy identifier <[KPA2011] VGS NN> in Simbad or companion galaxy identifier <[KPA2011] VGS NNa> in Simbad	[ucd=meta.id;meta.main]
#Column	Time	(F4.1)	Total integration time for each object	[ucd=time.expo]
#Column	l_MHI	(A1)	3{sigma} upper limit on MHI (non-detections)	[ucd=meta.code.error]
#Column	MHI	(F6.2)	? HI mass (see Section 3.1 for more details)	[ucd=phys.mass]
#Column	e_MHI	(F5.2)	? Error in MHI	[ucd=stat.error]
#Column	Vsys	(I4)	? Systemic HI velocity, using the optical definition	[ucd=spect.dopplerVeloc.opt;em.line.HI]
#Column	Dist	(I3)	? Distance to the target galaxy	[ucd=pos.distance;pos.galactocentric]
#Column	r90	(F4.1)	Optical galaxy radius (containing 90% of the light)	[ucd=phys.size.radius]
#Column	l_rHI	(A1)	Upper limit on rHI (listed for poorly resolved systems when possible)	[ucd=meta.code.error]
#Column	rHI	(F4.1)	? HI radius	[ucd=phys.size.radius]
#Column	W50	(I3)	? The 50% HI line widths, corrected for instrumental broadening	[ucd=spect.line.width]
#Column	W20	(I3)	? The 20% HI line widths, corrected for instrumental broadening	[ucd=spect.line.width]
#Column	i	(I2)	? Inclination angle, calculated such that 90{deg} is edge-on (see Section 3.1 and equation (1) for further details)	[ucd=src.orbital.inclination;meta.modelled]
#Column	PA	(I3)	? Position angle	[ucd=pos.posAng]
#Column	l_Mdyn	(A1)	Upper limit on Mdyn (listed for poorly resolved systems when possible)	[ucd=meta.code.error]
#Column	Mdyn	(F5.2)	? Dynamical mass	[ucd=phys.mass]
#Column	MHI/L	(F5.2)	? HI mass-to-light ratio	[ucd=phys.composition.massLightRatio]
VGS	Time	l_MHI	MHI	e_MHI	Vsys	Dist	r90	l_rHI	rHI	W50	W20	i	PA	l_Mdyn	Mdyn	MHI/L
28 	12.0	<	  1.67	     	    	   	 4.2	 	    	   	   	54	   	 	     	
29 	 0.0	 	      	     	    	   	 3.8	 	    	   	   	65	   	 	     	
30 	12.0	 	  5.50	 1.00	5666	 81	 3.7	<	 7.5	 50	 93	77	180	<	 0.12	 1.70
30a	12.0	 	  4.52	 0.79	5592	 79	 2.1	 	    	 24	 41	  	   	 	     	 2.10
31 	12.0	 	 19.89	 2.90	6247	 89	 4.0	<	10.4	153	178	52	155	<	 2.31	 0.25
31a	12.0	 	 14.63	 1.97	5691	 81	 6.5	 	    	196	298	  	   	 	     	 0.10
31b	12.0	 	  1.66	 0.95	4850	 69	 2.1	 	    	110	170	  	   	 	     	 0.10
32 	12.0	 	 38.00	 4.50	3522	 50	 4.1	 	19.0	171	187	46	310	 	 6.29	 0.90
33 	12.0	 	  8.39	 1.81	5443	 78	 2.0	<	 8.3	110	117	60	285	<	 0.77	 1.97
34 	12.0	 	 23.90	 2.90	4917	 70	 3.6	 	10.2	231	299	50	280	 	 5.34	 0.70
34a	12.0	 	  0.50	 0.16	4959	 70	 1.1	 	    	 33	 58	  	   	 	     	 1.70
35 	12.0	 	 10.70	 1.30	5191	 74	 3.0	 	10.8	145	187	65	340	 	 1.61	 0.90
36 	12.0	 	 19.80	 2.70	6684	 95	 5.0	 	13.0	190	224	79	190	 	 2.82	 1.10
36a	12.0	 	      	     	6684	 95	 1.6	 	    	   	   	  	   	 	     	
37 	12.0	 	 13.46	 1.89	5787	 83	 5.6	 	12.8	153	186	67	195	 	 2.05	 1.70
37a	12.0	 	  8.57	 1.67	4318	 62	 3.1	 	    	 50	 92	  	   	 	     	 0.50
38 	12.0	 	  9.10	 0.70	3853	 55	 2.8	 	 6.9	 50	 92	39	130	 	 0.26	 2.00
38a	12.0	 	  0.86	 0.14	3832	 54	 1.3	 	    	 67	 75	  	   	 	     	 0.40
38b	12.0	 	  1.39	 0.22	3863	 55	 1.4	 	    	 41	 66	  	   	 	     	 2.00
39 	11.0	<	  2.59	     	    	   	 3.7	 	    	   	   	66	   	 	     	
39a	11.0	 	  2.56	 0.39	5171	 74	 1.1	 	    	 16	 32	  	   	 	     	 3.00
40 	12.0	 	  6.00	 1.40	7091	101	 2.8	<	 4.2	206	231	42	 77	<	 2.32	 0.43
41 	10.5	<	  2.86	     	    	   	 1.8	 	    	   	   	29	   	 	     	
42 	12.0	 	  4.00	 1.50	5601	 80	 3.5	<	 8.1	128	171	58	310	<	 1.08	 0.20
43 	14.0	<	  2.87	     	    	   	 2.0	 	    	   	   	30	   	 	     	
44 	12.0	 	  4.90	 1.10	5295	 76	 3.6	<	 7.0	 76	110	31	145	<	 0.90	 0.10
45 	12.0	 	  3.50	 1.30	4316	 62	 4.0	<	 6.9	 68	102	66	320	<	 0.22	 1.00
46 	12.0	 	  5.55	 1.66	4751	 68	 2.9	<	 4.9	186	202	71	260	<	 1.10	 0.80
47 	12.0	 	 13.02	 2.71	6630	 95	 8.0	 	12.4	317	325	72	340	 	 7.97	 0.12
48 	 0.0	 	      	     	    	   	 3.6	 	    	   	   	68	   	 	     	
49 	12.0	<	  3.60	     	    	   	 3.9	 	    	   	   	40	   	 	     	
50 	12.0	 	 55.27	 7.30	6129	 88	 3.2	 	16.1	287	330	83	349	 	 7.85	 1.29
51 	12.0	 	 19.01	 2.46	7476	107	 4.3	<	10.1	172	206	63	285	<	 2.18	 1.27
51a	12.0	 	  1.00	 0.21	4990	 71	 1.4	 	    	 68	 68	  	   	 	     	 2.00
52 	12.0	 	  9.00	 2.25	5426	 78	 3.8	 	10.0	118	117	70	275	 	 0.92	 2.07
53 	13.0	 	  5.19	 1.66	6450	 92	 5.4	<	 2.2	162	178	64	155	<	 0.42	 0.14
53a	13.0	 	  4.38	 2.16	6942	 99	 6.2	 	    	119	119	  	   	 	     	 0.30
54 	 9.0	 	 33.18	 4.00	7028	100	 6.7	 	16.5	240	265	80	 38	 	 5.72	 1.21
54a	 9.0	 	      	     	4421	 63	 3.0	 	    	   	   	  	   	 	     	
55 	 8.5	 	 17.33	 3.56	7485	107	 5.7	 	13.2	154	197	55	145	 	 2.71	 0.60
56 	12.0	<	  2.67	     	    	   	 3.3	 	    	   	   	59	   	 	     	
56a	12.0	 	  2.15	 0.66	6247	 89	 2.1	 	    	101	109	  	   	 	     	 1.50
57 	13.0	 	  6.37	 1.48	6630	 95	 5.7	<	 9.0	119	187	30	330	<	 3.01	 0.06
57a	13.0	 	  1.72	 0.49	5443	 78	 1.9	 	    	 59	101	  	   	 	     	 0.30
58 	12.0	 	  7.00	 0.60	3351	 48	 2.6	 	 7.4	143	151	38	280	 	 2.39	 0.70
59 	12.0	<	  2.59	     	    	   	 3.1	 	    	   	   	67	   	 	     	
60 	12.0	 	  2.51	 1.61	5890	 84	 4.9	<	 5.7	273	281	81	106	<	 2.53	 0.09

